index,test,result,sort,leak,chars,moves,score,timeout
1,"No args","PASS","SKIP","CLEAN",0,0,"-",0
2,"Single number","PASS","SKIP","CLEAN",2,0,"-",0
3,"Two sorted","PASS","SKIP","CLEAN",3,0,"-",0
4,"Sorted 1..5","PASS","SKIP","CLEAN",9,0,"-",0
5,"Single-string sorted","PASS","SKIP","CLEAN",9,0,"-",0
6,"Mixed format args","PASS","SKIP","CLEAN",9,0,"-",0
7,"Two reversed","PASS","SKIP","CLEAN",3,5,"5/5",0
8,"Already sorted","PASS","SKIP","CLEAN",9,0,"-",0
9,"Reverse order","PASS","SKIP","CLEAN",9,29,"5/5",0
10,"Negative only","PASS","SKIP","CLEAN",14,0,"5/5",0
11,"Mixed sign","PASS","SKIP","CLEAN",12,17,"5/5",0
12,"Int min/max boundary","PASS","SKIP","CLEAN",24,8,"5/5",0
13,"Plus sign numbers","PASS","SKIP","CLEAN",10,18,"5/5",0
14,"Plus in single string","PASS","SKIP","CLEAN",13,29,"5/5",0
15,"Single-arg list","PASS","SKIP","CLEAN",10,29,"5/5",0
16,"Spaced single input","PASS","SKIP","CLEAN",20,19,"5/5",0
17,"Leading zero valid","PASS","SKIP","CLEAN",14,11,"5/5",0
18,"Duplicate args","PASS","SKIP","CLEAN",5,0,"-",0
19,"Duplicate negative","PASS","SKIP","CLEAN",7,0,"-",0
20,"Duplicate 0 and -0","PASS","SKIP","CLEAN",4,0,"-",0
21,"Duplicate padded","PASS","SKIP","CLEAN",4,0,"-",0
22,"Alphabetic token","PASS","SKIP","CLEAN",5,0,"-",0
23,"Alphabetic in string","PASS","SKIP","CLEAN",5,0,"-",0
24,"Invalid chunk 3+4","PASS","SKIP","CLEAN",9,0,"-",0
25,"Tab inside token","PASS","SKIP","CLEAN",3,0,"-",0
26,"Spaces only","PASS","SKIP","CLEAN",3,0,"-",0
27,"Empty string","PASS","SKIP","CLEAN",0,0,"-",0
28,"Only plus sign","PASS","SKIP","CLEAN",1,0,"-",0
29,"Only minus sign","PASS","SKIP","CLEAN",1,0,"-",0
30,"Multi sign ++","PASS","SKIP","CLEAN",3,0,"-",0
31,"Multi sign --","PASS","SKIP","CLEAN",3,0,"-",0
32,"Multi sign +-","PASS","SKIP","CLEAN",3,0,"-",0
33,"Multi sign -+","PASS","SKIP","CLEAN",3,0,"-",0
34,"Overflow max","PASS","SKIP","CLEAN",10,0,"-",0
35,"Overflow min","PASS","SKIP","CLEAN",11,0,"-",0
36,"Overflow max in string","PASS","SKIP","CLEAN",14,0,"-",0
37,"Overflow min in string","PASS","SKIP","CLEAN",15,0,"-",0
38,"Unknown flag","PASS","SKIP","CLEAN",9,0,"-",0
39,"Random n=100 #1","PASS","SKIP","CLEAN",627,895,"4/5",0
40,"Random n=500 #1","PASS","SKIP","CLEAN",3154,5946,"4/5",0
41,"Random n=100 #2","PASS","SKIP","CLEAN",610,1100,"1/5",0
42,"Random n=500 #2","PASS","SKIP","CLEAN",3136,11762,"1/5",0
43,"Random n=100 #3","PASS","SKIP","CLEAN",639,1100,"1/5",0
44,"Random n=500 #3","PASS","SKIP","CLEAN",3156,11762,"1/5",0
45,"Random n=100 #4","PASS","SKIP","CLEAN",625,1100,"1/5",0
46,"Random n=500 #4","PASS","SKIP","CLEAN",3115,5965,"4/5",0
47,"Random n=100 #5","PASS","SKIP","CLEAN",633,1100,"1/5",0
48,"Random n=500 #5","PASS","SKIP","CLEAN",3138,11762,"1/5",0
49,"Random n=100 #6","PASS","SKIP","CLEAN",621,1100,"1/5",0
50,"Random n=500 #6","PASS","SKIP","CLEAN",3123,11762,"1/5",0
51,"Random n=100 #7","PASS","SKIP","CLEAN",631,854,"4/5",0
52,"Random n=500 #7","PASS","SKIP","CLEAN",3140,11762,"1/5",0
53,"Random n=100 #8","PASS","SKIP","CLEAN",625,1100,"1/5",0
54,"Random n=500 #8","PASS","SKIP","CLEAN",3136,6045,"4/5",0
55,"Random n=100 #9","PASS","SKIP","CLEAN",634,1100,"1/5",0
56,"Random n=500 #9","PASS","SKIP","CLEAN",3153,5961,"4/5",0
57,"Random n=100 #10","PASS","SKIP","CLEAN",630,860,"4/5",0
58,"Random n=500 #10","PASS","SKIP","CLEAN",3126,6010,"4/5",0
59,"Random n=100 #11","PASS","SKIP","CLEAN",621,867,"4/5",0
60,"Random n=500 #11","PASS","SKIP","CLEAN",3147,5927,"4/5",0
61,"Random n=100 #12","PASS","SKIP","CLEAN",640,1100,"1/5",0
62,"Random n=500 #12","PASS","SKIP","CLEAN",3114,11762,"1/5",0
